Player,Offensive Archetype,Defensive Role
PJ Hall,Roll + Cut Big,Anchor Big
P.J. Washington,Shot Creator,Wing Stopper
Precious Achiuwa,Athletic Finisher,Wing Stopper
Quentin Grimes,Shot Creator,Chaser
Quenton Jackson,Secondary Ball Handler,Point of Attack
Quinten Post,Stretch Big,Mobile Big
Rasheer Fleming,Stationary Shooter,Helper
Rayan Rupert,Stationary Shooter,Chaser
RayJ Dennis,Secondary Ball Handler,Point of Attack
Reed Sheppard,Primary Ball Handler,Chaser
Riley Minix,Low Minute,Mobile Big
RJ Barrett,Movement Shooter,Helper
Rob Dillingham,Shot Creator,Low Activity
Robert Williams III,Athletic Finisher,Anchor Big
Rocco Zikarsky,Low Minute,Low Activity
Ronald Holland II,Stationary Shooter,Point of Attack
Ron Harper Jr.,Movement Shooter,Chaser
Royce O'Neale,Movement Shooter,Wing Stopper
Rudy Gobert,Roll + Cut Big,Anchor Big
Rui Hachimura,Shot Creator,Wing Stopper
Russell Westbrook,Shot Creator,Chaser
Ryan Dunn,Stationary Shooter,Wing Stopper
Ryan Kalkbrenner,Roll + Cut Big,Anchor Big
Ryan Nembhard,Primary Ball Handler,Point of Attack
Ryan Rollins,Primary Ball Handler,Point of Attack
Saddiq Bey,Shot Creator,Helper
Sam Hauser,Movement Shooter,Helper
Sam Merrill,Movement Shooter,Chaser
Sandro Mamukelashvili,Stationary Shooter,Mobile Big
Santi Aldama,Movement Shooter,Helper
Scoot Henderson,Primary Ball Handler,Chaser
Scottie Barnes,Offensive Hub,Wing Stopper
Scotty Pippen Jr.,Slasher,Point of Attack
Seth Curry,Low Minute,Chaser
Shaedon Sharpe,Shot Creator,Chaser
Shai Gilgeous-Alexander,Shot Creator,Helper
Sharife Cooper,Shot Creator,Point of Attack
Sidy Cissoko,Stationary Shooter,Helper
Simone Fontecchio,Off Screen Shooter,Helper
Sion James,Movement Shooter,Point of Attack
Skal Labissiere,Low Minute,Mobile Big
Spencer Jones,Stationary Shooter,Wing Stopper
Stanley Umude,Low Minute,Helper
Stephen Curry,Primary Ball Handler,Low Activity
Stephon Castle,Primary Ball Handler,Point of Attack
Steven Adams,Roll + Cut Big,Anchor Big
Svi Mykhailiuk,Movement Shooter,Wing Stopper
Taelon Peter,Off Screen Shooter,Point of Attack
Tari Eason,Stationary Shooter,Wing Stopper
Taurean Prince,Stationary Shooter,Wing Stopper
Taylor Hendricks,Stationary Shooter,Helper
Terance Mann,Primary Ball Handler,Point of Attack
Terrence Shannon Jr.,Stationary Shooter,Chaser
Thanasis Antetokounmpo,Low Minute,Helper
Thomas Bryant,Stretch Big,Mobile Big
Tidjane Salaun,Stationary Shooter,Helper
Tim Hardaway Jr.,Off Screen Shooter,Chaser
T.J. McConnell,Slasher,Low Activity
Tobias Harris,Versatile Big,Wing Stopper
Tony Bradley,Roll + Cut Big,Mobile Big
Tosan Evbuomwan,Low Minute,Low Activity
Toumani Camara,Stationary Shooter,Wing Stopper
Trae Young,Primary Ball Handler,Chaser
Trayce Jackson-Davis,Roll + Cut Big,Mobile Big
Tre Johnson,Off Screen Shooter,Chaser
Tre Jones,Slasher,Point of Attack
Tre Mann,Secondary Ball Handler,Low Activity
Trendon Watford,Shot Creator,Helper
Trentyn Flowers,Low Minute,Point of Attack
Trevor Keels,Low Minute,Low Activity
Trey Alexander,Low Minute,Point of Attack
Trey Jemison III,Low Minute,Anchor Big
Trey Murphy III,Secondary Ball Handler,Helper
Tristan da Silva,Movement Shooter,Helper
Tristan Enaruna,Low Minute,Helper
Tristan Vukcevic,Stretch Big,Mobile Big
Ty Jerome,Shot Creator,Helper
