Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
93,Jabari Smith Jr.,22,HOU,PF,62,62,34.8,5.6,12.3,.453,2.2,6.0,.366,3.4,6.3,.537,.543,2.0,2.6,.779,1.5,5.3,6.8,1.8,0.8,0.9,1.3,2.5,15.4,,smithja05
94,Jarrett Allen,27,CLE,C,51,51,27.5,6.0,9.4,.636,0.0,0.2,.100,6.0,9.2,.648,.637,3.3,4.5,.725,2.6,5.9,8.5,1.9,1.0,0.9,1.4,1.8,15.3,,allenja01
95,Anthony Black,22,ORL,PG,60,40,30.7,5.5,12.3,.451,1.6,4.7,.339,3.9,7.6,.521,.516,2.6,3.6,.730,0.7,3.1,3.9,3.8,1.4,0.7,2.1,2.7,15.3,,blackan01
96,VJ Edgecombe,20,PHI,SG,59,59,35.0,5.6,13.3,.424,2.0,5.7,.353,3.6,7.6,.478,.500,2.0,2.5,.815,1.6,3.9,5.5,3.8,1.5,0.5,1.9,2.9,15.3,,edgecvj01
97,Mikal Bridges,29,NYK,SF,68,68,33.5,6.0,12.2,.490,2.0,5.2,.376,4.0,7.0,.576,.571,1.0,1.2,.821,1.0,3.1,4.1,3.9,1.4,0.8,1.0,2.0,15.0,,bridgmi01
98,Jaime Jaquez Jr.,24,MIA,SF,62,1,28.7,6.0,12.0,.498,0.6,2.1,.280,5.4,9.9,.545,.523,2.4,3.1,.764,1.3,3.9,5.3,4.7,0.8,0.3,2.1,1.9,15.0,,jaqueja01
99,Naji Marshall,28,DAL,SF,64,37,29.4,5.5,10.5,.524,0.8,2.8,.298,4.7,7.7,.607,.564,3.0,4.0,.756,0.9,3.9,4.8,3.1,1.0,0.1,1.6,1.9,14.9,,marshna01
100,Peyton Watson,23,DEN,SF,49,39,30.7,5.4,10.9,.496,1.5,3.7,.417,3.9,7.2,.537,.567,2.6,3.6,.727,0.9,4.0,4.9,2.0,1.0,1.2,1.8,2.5,14.9,,watsope01
101,Kyshawn George,22,WAS,SF,48,48,29.0,5.3,12.0,.438,2.1,5.4,.381,3.2,6.6,.486,.524,2.2,2.7,.802,0.9,4.2,5.1,4.5,1.0,0.9,2.6,3.5,14.8,,georgky01
102,Jaden McDaniels,25,MIN,PF,65,65,31.9,5.6,10.7,.520,1.4,3.4,.422,4.2,7.4,.565,.586,2.1,2.5,.851,1.0,3.2,4.3,2.8,1.1,1.0,1.9,3.4,14.7,,mcdanja02
